MARKET_NAME,DATE,FB_LOWER_IMPRESSIONS,FB_UPPER_IMPRESSIONS,FB_APP_IMPRESSIONS,FB_LOWER_CLICKS,FB_UPPER_CLICKS,FB_APP_CLICKS,FB_LOWER_COST,FB_UPPER_COST,FB_APP_COST,FB_VIDEO_IMPRESSIONS,FB_STATIC_IMPRESSIONS,FB_VIDEO_CLICKS,FB_STATIC_CLICKS,FB_VIDEO_COST,FB_STATIC_COST,FB_TOTAL_IMPRESSIONS,FB_TOTAL_CLICKS,FB_TOTAL_COST,PMAX_LOCAL,GOOGLE_SEARCH_NONBRAND_IMPRESSIONS,GOOGLE_SEARCH_BRAND_IMPRESSIONS,GOOGLE_PMAX_IMPRESSIONS,GOOGLE_DISPLAY_IMPRESSIONS,GOOGLE_YOUTUBE_IMPRESSIONS,GOOGLE_SEARCH_NONBRAND_CLICKS,GOOGLE_SEARCH_BRAND_CLICKS,GOOGLE_PMAX_CLICKS,GOOGLE_DISPLAY_CLICKS,GOOGLE_YOUTUBE_CLICKS,GOOGLE_SEARCH_NONBRAND_COST,GOOGLE_SEARCH_BRAND_COST,GOOGLE_PMAX_COST,GOOGLE_DISPLAY_COST,GOOGLE_YOUTUBE_COST,GOOGLE_SEARCH_NONBRAND_IMPRESSIONS_2,GOOGLE_PMAX_IMPRESSIONS_2,GOOGLE_OTHER_IMPRESSIONS_2,GOOGLE_SEARCH_NONBRAND_CLICKS_2,GOOGLE_PMAX_CLICKS_2,GOOGLE_OTHER_CLICKS_2,GOOGLE_SEARCH_NONBRAND_COST_2,GOOGLE_PMAX_COST_2,GOOGLE_OTHER_COST_2,GOOGLE_TOTAL_IMPRESSIONS,GOOGLE_TOTAL_CLICKS,GOOGLE_TOTAL_COST,BING_SEARCH_BRAND_IMPRESSIONS,BING_SEARCH_NONBRAND_IMPRESSIONS,BING_OTHER_IMPRESSIONS,BING_SEARCH_BRAND_CLICKS,BING_SEARCH_NONBRAND_CLICKS,BING_OTHER_CLICKS,BING_SEARCH_BRAND_COST,BING_SEARCH_NONBRAND_COST,BING_OTHER_COST,BING_TOTAL_IMPRESSIONS,BING_TOTAL_CLICKS,BING_TOTAL_COST,GMV_NET_EUR,GMV_GROSS_EUR,BOOKINGS,ACTIVE_INCL_HIDDEN_VEHICLES,ACTIVE_VEHICLE_LOCATIONS,ACTIVE_VEHICLES,ACTIVE_VEHICLES_CAR,ACTIVE_VEHICLES_VAN,ACTIVE_VEHICLES_MINIBUS,ACTIVE_VEHICLES_MOVINGTRUCK,ACTIVE_VEHICLES_OTHERS,OCCUPANCY_RATE,OCCUPANCY_RATE_CAR,OCCUPANCY_RATE_VAN,OCCUPANCY_RATE_MINIBUS,OCCUPANCY_RATE_MOVINGTRUCK,OCCUPANCY_RATE_7D,OCCUPANCY_RATE_CAR_7D,OCCUPANCY_RATE_VAN_7D,OCCUPANCY_RATE_MINIBUS_7D,OCCUPANCY_RATE_MOVINGTRUCK_7D,OCCUPANCY_RATE_30D,OCCUPANCY_RATE_CAR_30D,OCCUPANCY_RATE_VAN_30D,OCCUPANCY_RATE_MINIBUS_30D,OCCUPANCY_RATE_MOVINGTRUCK_30D,AVAILABILITY_RATE,AVAILABILITY_RATE_CAR,AVAILABILITY_RATE_VAN,AVAILABILITY_RATE_MINIBUS,AVAILABILITY_RATE_MOVINGTRUCK,CRM_EMAIL_NEWSLETTER_SENDS,CRM_EMAIL_NEWSLETTER_OPENS,CRM_EMAIL_NEWSLETTER_CLICKS,CRM_EMAIL_JOURNEY_SENDS,CRM_EMAIL_JOURNEY_OPENS,CRM_EMAIL_JOURNEY_CLICKS,CRM_EMAIL_TOTAL_SENDS,CRM_EMAIL_TOTAL_OPENS,CRM_EMAIL_TOTAL_CLICKS,CRM_EMAIL_UNSUBSCRIBES,CRM_REACHABLE_AUDIENCE,CRM_CUMULATIVE_USERS,CRM_CUMULATIVE_UNSUBSCRIBES,IS_HOLIDAY,IS_LONG_WEEKEND,IS_BRIDGE_DAY,IS_SCHOOL_HOLIDAY,HOLIDAY_NAMES,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_MEAN,PRECIPITATION_MM,SNOWFALL_CM,SNOW_DEPTH_M,WINDSPEED_MAX_KMH,SUNSHINE_HOURS,WEATHER_CODE,WEATHER_CONDITION,WEATHER_BUCKET,IS_FREEZING,IS_HOT,IS_SNOWING,IS_RAINING,IS_DRY,SESSIONS,NEW_USERS,TOTAL_USERS,ACTIVE_1DAY_USERS,N_LOCATIONS_ON_MARKETING,N_LOCATIONS,N_PARTNERS,N_PARTNERS_ON_MARKETING,AVG_BASE_PRICE,AVG_BASE_CAR_PRICE,AVG_PRICE,AVG_CAR_PRICE,SEO_BRAND_CLICKS_MONTH,SEO_BRAND_IMPRESSIONS_MONTH
Germany,2024-01-02,,,,,,,,,,,,,,,,,,,1.0,6399.0,33.0,128.0,0.0,0.0,570.0,8.0,10.0,0.0,0.0,570.17,1.01,4.14,0.0,0.0,6399.0,128.0,33.0,570.0,10.0,8.0,570.17,4.14,1.01,6560.0,588.0,575.32,,,,,,,,,,,,,3338.66,4381.46,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Day | New Year's Day,9.2,3.8,6.8,13.8,0.21,0.0,34.1,0.0,73.0,snow,snow,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,245.0,628.0
Netherlands,2024-01-02,12217.0,48036.0,0.0,80.0,19.0,0.0,82.33,29.36,0.0,23140.0,37113.0,39.0,60.0,39.15,72.54,60253.0,99.0,111.69,1.0,11374.0,386.0,4395.0,0.0,0.0,1874.0,187.0,361.0,0.0,0.0,2085.99,14.96,385.23,0.0,0.0,11374.0,4395.0,386.0,1874.0,361.0,187.0,2085.99,385.23,14.96,16155.0,2422.0,2486.18,0.0,175.0,2400.0,0.0,10.0,7.0,0.0,25.31,7.63,2575.0,17.0,32.94,45362.16,59164.01,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Day | New Year's Day,11.7,6.6,10.0,19.3,0.0,0.0,44.5,0.0,63.0,rain,rain,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,387.0,3372.0
Norway,2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Day | New Year's Day,-4.7,-8.4,-7.2,0.4,0.28,0.52,19.3,0.0,71.0,light_snow,snow,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,
Spain,2024-01-02,0.0,181460.0,0.0,0.0,99.0,0.0,0.0,52.63,0.0,30431.0,151029.0,14.0,85.0,8.91,43.72,181460.0,99.0,52.63,1.0,8768.0,93.0,14604.0,0.0,0.0,1552.0,56.0,547.0,0.0,0.0,1203.4,7.36,171.95,0.0,0.0,8768.0,14604.0,93.0,1552.0,547.0,56.0,1203.4,171.95,7.36,23465.0,2155.0,1382.71,8.0,1795.0,954.0,3.0,39.0,6.0,2.34,14.52,0.76,2757.0,48.0,17.62,14268.66,16550.26,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Day | New Year's Day,9.8,0.8,5.0,0.0,0.0,0.0,29.2,6.55,3.0,overcast,cloudy,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,166.0,604.0
Sweden,2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Eve | New Year's Eve,-4.4,-7.2,-6.0,2.1,1.47,0.17,21.6,0.0,71.0,light_snow,snow,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
USA,2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Day | New Year's Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2024-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4746.0,52.0,0.0,0.0,0.0,760.0,32.0,0.0,0.0,0.0,621.29,5.49,0.0,0.0,0.0,4746.0,0.0,52.0,760.0,0.0,32.0,621.29,0.0,5.49,4798.0,792.0,626.78,,,,,,,,,,,,,5098.54,7288.54,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Day | New Year's Day,9.7,7.2,8.5,4.8,0.0,0.0,37.4,3.9,61.0,light_rain,rain,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,80.0,1098.0
Denmark,2024-01-03,27365.0,8226.0,1496.0,76.0,1.0,4.0,203.450666667,10.989333333,13.2,18365.0,18722.0,47.0,34.0,115.058666667,112.581333333,37087.0,81.0,227.64,1.0,4383.0,0.0,5527.0,0.0,0.0,1005.0,0.0,134.0,0.0,0.0,1749.46133334,0.0,189.77733333,0.0,0.0,4383.0,5527.0,0.0,1005.0,134.0,0.0,1749.46133334,189.77733333,0.0,9910.0,1139.0,1939.23866667,59.0,528.0,34.0,27.0,27.0,0.0,13.524,39.778666667,0.0,621.0,54.0,53.302666667,61095.07600003,68776.66800002,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Day | New Year's Day,3.2,0.6,1.6,29.8,9.94,0.04,45.2,0.0,75.0,heavy_snow,snow,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,8868.0,12851.0
Germany,2024-01-03,,,,,,,,,,,,,,,,,,,1.0,6621.0,32.0,139.0,0.0,0.0,480.0,12.0,11.0,0.0,0.0,472.4,2.15,6.47,0.0,0.0,6621.0,139.0,32.0,480.0,11.0,12.0,472.4,6.47,2.15,6792.0,503.0,481.02,,,,,,,,,,,,,4786.6,4926.6,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Day | New Year's Day,9.4,6.4,8.0,3.1,0.0,0.0,33.4,4.23,61.0,light_rain,rain,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,245.0,628.0
Netherlands,2024-01-03,11386.0,42609.0,0.0,60.0,16.0,0.0,80.85,29.15,0.0,20959.0,33036.0,25.0,51.0,37.83,72.17,53995.0,76.0,110.0,1.0,11259.0,353.0,4365.0,0.0,0.0,1837.0,174.0,361.0,0.0,0.0,2138.9,12.84,357.32,0.0,0.0,11259.0,4365.0,353.0,1837.0,361.0,174.0,2138.9,357.32,12.84,15977.0,2372.0,2509.06,0.0,215.0,1954.0,0.0,15.0,2.0,0.0,34.66,1.32,2169.0,17.0,35.98,32651.25,35517.95,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Day | New Year's Day,9.4,6.8,8.4,5.3,0.0,0.0,38.6,1.0,53.0,drizzle,rain,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,387.0,3372.0
