MARKET_NAME,DATE,FB_LOWER_IMPRESSIONS,FB_UPPER_IMPRESSIONS,FB_APP_IMPRESSIONS,FB_LOWER_CLICKS,FB_UPPER_CLICKS,FB_APP_CLICKS,FB_LOWER_COST,FB_UPPER_COST,FB_APP_COST,FB_VIDEO_IMPRESSIONS,FB_STATIC_IMPRESSIONS,FB_VIDEO_CLICKS,FB_STATIC_CLICKS,FB_VIDEO_COST,FB_STATIC_COST,FB_TOTAL_IMPRESSIONS,FB_TOTAL_CLICKS,FB_TOTAL_COST,PMAX_LOCAL,GOOGLE_SEARCH_NONBRAND_IMPRESSIONS,GOOGLE_SEARCH_BRAND_IMPRESSIONS,GOOGLE_PMAX_IMPRESSIONS,GOOGLE_DISPLAY_IMPRESSIONS,GOOGLE_YOUTUBE_IMPRESSIONS,GOOGLE_SEARCH_NONBRAND_CLICKS,GOOGLE_SEARCH_BRAND_CLICKS,GOOGLE_PMAX_CLICKS,GOOGLE_DISPLAY_CLICKS,GOOGLE_YOUTUBE_CLICKS,GOOGLE_SEARCH_NONBRAND_COST,GOOGLE_SEARCH_BRAND_COST,GOOGLE_PMAX_COST,GOOGLE_DISPLAY_COST,GOOGLE_YOUTUBE_COST,GOOGLE_SEARCH_NONBRAND_IMPRESSIONS_2,GOOGLE_PMAX_IMPRESSIONS_2,GOOGLE_OTHER_IMPRESSIONS_2,GOOGLE_SEARCH_NONBRAND_CLICKS_2,GOOGLE_PMAX_CLICKS_2,GOOGLE_OTHER_CLICKS_2,GOOGLE_SEARCH_NONBRAND_COST_2,GOOGLE_PMAX_COST_2,GOOGLE_OTHER_COST_2,GOOGLE_TOTAL_IMPRESSIONS,GOOGLE_TOTAL_CLICKS,GOOGLE_TOTAL_COST,BING_SEARCH_BRAND_IMPRESSIONS,BING_SEARCH_NONBRAND_IMPRESSIONS,BING_OTHER_IMPRESSIONS,BING_SEARCH_BRAND_CLICKS,BING_SEARCH_NONBRAND_CLICKS,BING_OTHER_CLICKS,BING_SEARCH_BRAND_COST,BING_SEARCH_NONBRAND_COST,BING_OTHER_COST,BING_TOTAL_IMPRESSIONS,BING_TOTAL_CLICKS,BING_TOTAL_COST,GMV_NET_EUR,GMV_GROSS_EUR,BOOKINGS,ACTIVE_INCL_HIDDEN_VEHICLES,ACTIVE_VEHICLE_LOCATIONS,ACTIVE_VEHICLES,ACTIVE_VEHICLES_CAR,ACTIVE_VEHICLES_VAN,ACTIVE_VEHICLES_MINIBUS,ACTIVE_VEHICLES_MOVINGTRUCK,ACTIVE_VEHICLES_OTHERS,OCCUPANCY_RATE,OCCUPANCY_RATE_CAR,OCCUPANCY_RATE_VAN,OCCUPANCY_RATE_MINIBUS,OCCUPANCY_RATE_MOVINGTRUCK,OCCUPANCY_RATE_7D,OCCUPANCY_RATE_CAR_7D,OCCUPANCY_RATE_VAN_7D,OCCUPANCY_RATE_MINIBUS_7D,OCCUPANCY_RATE_MOVINGTRUCK_7D,OCCUPANCY_RATE_30D,OCCUPANCY_RATE_CAR_30D,OCCUPANCY_RATE_VAN_30D,OCCUPANCY_RATE_MINIBUS_30D,OCCUPANCY_RATE_MOVINGTRUCK_30D,AVAILABILITY_RATE,AVAILABILITY_RATE_CAR,AVAILABILITY_RATE_VAN,AVAILABILITY_RATE_MINIBUS,AVAILABILITY_RATE_MOVINGTRUCK,CRM_EMAIL_NEWSLETTER_SENDS,CRM_EMAIL_NEWSLETTER_OPENS,CRM_EMAIL_NEWSLETTER_CLICKS,CRM_EMAIL_JOURNEY_SENDS,CRM_EMAIL_JOURNEY_OPENS,CRM_EMAIL_JOURNEY_CLICKS,CRM_EMAIL_TOTAL_SENDS,CRM_EMAIL_TOTAL_OPENS,CRM_EMAIL_TOTAL_CLICKS,CRM_EMAIL_UNSUBSCRIBES,CRM_REACHABLE_AUDIENCE,CRM_CUMULATIVE_USERS,CRM_CUMULATIVE_UNSUBSCRIBES,IS_HOLIDAY,IS_LONG_WEEKEND,IS_BRIDGE_DAY,IS_SCHOOL_HOLIDAY,HOLIDAY_NAMES,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_MEAN,PRECIPITATION_MM,SNOWFALL_CM,SNOW_DEPTH_M,WINDSPEED_MAX_KMH,SUNSHINE_HOURS,WEATHER_CODE,WEATHER_CONDITION,WEATHER_BUCKET,IS_FREEZING,IS_HOT,IS_SNOWING,IS_RAINING,IS_DRY,SESSIONS,NEW_USERS,TOTAL_USERS,ACTIVE_1DAY_USERS,N_LOCATIONS_ON_MARKETING,N_LOCATIONS,N_PARTNERS,N_PARTNERS_ON_MARKETING,AVG_BASE_PRICE,AVG_BASE_CAR_PRICE,AVG_PRICE,AVG_CAR_PRICE,SEO_BRAND_CLICKS_MONTH,SEO_BRAND_IMPRESSIONS_MONTH
Germany,2024-01-02,,,,,,,,,,,,,,,,,,,1,6399,33,128,0,0,570,8,10,0,0,570.17000000,1.01000000,4.14000000,0.00000000,0.00000000,6399,128,33,570,10,8,570.17000000,4.14000000,1.01000000,6560,588,575.32000000,,,,,,,,,,,,,3338.660000000000,4381.460000000000,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,1,1,0,0,1289,1320,31,0,0,0,1,New Year's Day | New Year's Day,9.2,3.8,6.8,13.8,0.21,0.00,34.1,0.00,73,snow,snow,0,0,1,0,0,666,457,575,563,,,,,,,,,245,628
Netherlands,2024-01-02,12217,48036,0,80,19,0,82.33,29.36,0,23140,37113,39,60,39.15,72.54,60253,99,111.69,1,11374,386,4395,0,0,1874,187,361,0,0,2085.99000000,14.96000000,385.23000000,0.00000000,0.00000000,11374,4395,386,1874,361,187,2085.99000000,385.23000000,14.96000000,16155,2422,2486.18000000,0,175,2400,0,10,7,0,25.31,7.63,2575,17,32.94,45362.160000000000,59164.010000000000,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,13,6,1,13,6,1,2,17998,18958,960,0,0,0,1,New Year's Day | New Year's Day,11.7,6.6,10.0,19.3,0.00,0.00,44.5,0.00,63,rain,rain,0,0,0,1,0,4554,2535,3845,3645,,,,,,,,,387,3372
Norway,2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Day | New Year's Day,-4.7,-8.4,-7.2,0.4,0.28,0.52,19.3,0.00,71,light_snow,snow,1,0,1,0,1,,,,,,,,,,,,,,
Spain,2024-01-02,0,181460,0,0,99,0,0,52.63,0,30431,151029,14,85,8.91,43.72,181460,99,52.63,1,8768,93,14604,0,0,1552,56,547,0,0,1203.40000000,7.36000000,171.95000000,0.00000000,0.00000000,8768,14604,93,1552,547,56,1203.40000000,171.95000000,7.36000000,23465,2155,1382.71000000,8,1795,954,3,39,6,2.34,14.52,0.76,2757,48,17.62,14268.660000000000,16550.260000000000,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,16,7,7,16,7,7,0,10906,11041,135,0,0,0,1,New Year's Day | New Year's Day,9.8,0.8,5.0,0.0,0.00,0.00,29.2,6.55,3,overcast,cloudy,0,0,0,0,1,2053,1309,1816,1757,,,,,,,,,166,604
Sweden,2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Eve | New Year's Eve,-4.4,-7.2,-6.0,2.1,1.47,0.17,21.6,0.00,71,light_snow,snow,1,0,1,0,0,,,,,,,,,,,,,,
USA,2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Day | New Year's Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2024-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4746,52,0,0,0,760,32,0,0,0,621.29000000,5.49000000,0.00000000,0.00000000,0.00000000,4746,0,52,760,0,32,621.29000000,0.00000000,5.49000000,4798,792,626.78000000,,,,,,,,,,,,,5098.540000000000,7288.540000000000,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,18,12,5,18,12,5,0,1350,1364,14,0,0,0,1,New Year's Day | New Year's Day,9.7,7.2,8.5,4.8,0.00,0.00,37.4,3.90,61,light_rain,rain,0,0,0,1,0,987,598,843,821,,,,,,,,,80,1098
Denmark,2024-01-03,27365,8226,1496,76,1,4,203.450666667,10.989333333,13.2,18365,18722,47,34,115.058666667,112.581333333,37087,81,227.64,1,4383,0,5527,0,0,1005,0,134,0,0,1749.46133334,0.00000000,189.77733333,0.00000000,0.00000000,4383,5527,0,1005,134,0,1749.46133334,189.77733333,0.00000000,9910,1139,1939.23866667,59,528,34,27,27,0,13.524,39.778666667,0,621,54,53.302666667,61095.076000030000,68776.668000020000,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,58,39,17,58,39,17,31,158234,181047,22813,0,0,0,0,New Year's Day | New Year's Day,3.2,0.6,1.6,29.8,9.94,0.04,45.2,0.00,75,heavy_snow,snow,0,0,1,0,0,3604,1744,2983,2767,,,,,,,,,8868,12851
Germany,2024-01-03,,,,,,,,,,,,,,,,,,,1,6621,32,139,0,0,480,12,11,0,0,472.40000000,2.15000000,6.47000000,0.00000000,0.00000000,6621,139,32,480,11,12,472.40000000,6.47000000,2.15000000,6792,503,481.02000000,,,,,,,,,,,,,4786.600000000000,4926.600000000000,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,14,12,4,14,12,4,0,1303,1334,31,0,0,0,1,New Year's Day | New Year's Day,9.4,6.4,8.0,3.1,0.00,0.00,33.4,4.23,61,light_rain,rain,0,0,0,1,0,568,405,524,514,,,,,,,,,245,628
Netherlands,2024-01-03,11386,42609,0,60,16,0,80.85,29.15,0,20959,33036,25,51,37.83,72.17,53995,76,110,1,11259,353,4365,0,0,1837,174,361,0,0,2138.90000000,12.84000000,357.32000000,0.00000000,0.00000000,11259,4365,353,1837,361,174,2138.90000000,357.32000000,12.84000000,15977,2372,2509.06000000,0,215,1954,0,15,2,0,34.66,1.32,2169,17,35.98,32651.250000000000,35517.950000000000,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,181,113,55,181,113,55,1,18173,19133,960,0,0,0,1,New Year's Day | New Year's Day,9.4,6.8,8.4,5.3,0.00,0.00,38.6,1.00,53,drizzle,rain,0,0,0,1,0,4521,2427,3710,3535,,,,,,,,,387,3372
